139_B,63,102.0,38.0,0.0,5.0,38.0,2.0,2.0,0.0,5,6,8,1,7,2,4,3
13_A,15,24.0,8.0,0.0,3.0,8.0,3.0,1.0,0.0,5,6,8,2,7,1,4,3
13_B,32,69.0,19.0,0.0,3.0,19.0,3.0,2.0,0.0,5,1,8,2,7,6,4,3
13_C,43,71.0,23.0,0.0,5.0,23.0,2.0,2.0,0.0,5,6,7,1,2,8,4,3
13_D,38,62.0,21.0,0.0,5.0,21.0,2.0,3.0,0.0,5,6,7,8,1,2,4,3
13_E,11,17.0,5.0,0.0,3.0,5.0,3.0,2.0,0.0,7,5,6,8,2,1,4,3
140_B,36,57.0,16.0,0.0,6.0,16.0,1.0,3.0,0.0,7,5,6,8,2,1,4,3
140_C,30,71.0,16.0,0.0,3.0,16.0,2.0,1.0,0.0,7,5,6,8,2,1,3,4
140_D,17,28.0,10.0,0.0,2.0,10.0,2.0,1.0,0.0,5,7,8,2,6,1,4,3
141_A,38,84.0,14.0,0.0,3.0,14.0,3.0,1.0,0.0,7,6,5,8,2,1,4,3
141_C,5,11.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,6,7,5,8,1,2,3,4
141_D,28,45.0,15.0,0.0,5.0,15.0,2.0,1.0,0.0,6,5,8,7,2,1,4,3
141_E,5,11.0,1.0,0.0,1.0,1.0,2.0,1.0,2.0,6,5,7,1,2,8,4,3
142_C,62,107.0,36.0,0.0,9.0,36.0,9.0,2.0,0.0,6,7,8,2,4,1,3,5
142_D,19,30.0,10.0,0.0,3.0,10.0,3.0,2.0,0.0,7,6,8,2,3,1,5,4
144_C,33,54.0,18.0,0.0,5.0,18.0,2.0,2.0,0.0,7,5,6,8,3,2,1,4
145_A,38,60.0,13.0,0.0,8.0,13.0,2.0,1.0,0.0,7,6,8,5,2,1,4,3
145_B,10,19.0,4.0,0.0,3.0,4.0,2.0,1.0,0.0,6,8,5,7,2,1,4,3
145_E,5,15.0,1.0,0.0,1.0,1.0,2.0,1.0,5500000.0,7,6,8,5,3,2,1,4
146_A,23,38.0,10.0,0.0,5.0,10.0,2.0,1.0,0.0,5,7,8,6,3,2,4,1
146_B,26,45.0,11.0,0.0,5.0,11.0,2.0,1.0,0.0,5,7,6,2,1,8,4,3
147_A,11,18.0,4.0,0.0,2.0,4.0,2.0,2.0,0.0,5,7,6,8,2,1,3,4
148_A,33,56.0,14.0,0.0,8.0,14.0,2.0,1.0,0.0,5,7,8,6,1,2,4,3
148_C,14,23.0,7.0,0.0,3.0,7.0,3.0,1.0,0.0,5,7,6,8,1,2,4,3
148_D,12,24.0,5.0,0.0,2.0,5.0,2.0,1.0,0.0,6,7,5,8,1,2,4,3
148_E,52,86.0,30.0,0.0,5.0,30.0,1.0,3.0,0.0,6,7,5,2,8,3,4,1
149_A,20,33.0,10.0,0.0,4.0,10.0,1.0,1.0,0.0,7,5,8,1,2,3,6,4
14_A,18,28.0,9.0,0.0,3.0,9.0,3.0,2.0,0.0,7,8,5,2,6,3,4,1
14_B,31,55.0,15.0,0.0,8.0,15.0,2.0,1.0,0.0,5,8,7,6,2,1,3,4
14_C,15,34.0,6.0,0.0,4.0,6.0,4.0,1.0,0.0,7,6,5,8,2,1,3,4
14_D,5,11.0,1.0,0.0,1.0,1.0,2.0,1.0,205.0,7,8,5,6,2,1,3,4
14_E,22,37.0,13.0,0.0,3.0,13.0,3.0,1.0,0.0,7,6,8,2,3,5,1,4
150_A,35,58.0,17.0,0.0,8.0,17.0,2.0,1.0,0.0,7,5,6,8,2,1,3,4
150_B,22,37.0,10.0,0.0,4.0,10.0,2.0,1.0,0.0,7,5,8,6,1,3,2,4
150_D,54,90.0,31.0,0.0,6.0,31.0,2.0,2.0,0.0,5,7,8,2,6,3,1,4
150_E,51,90.0,32.0,0.0,6.0,32.0,2.0,1.0,0.0,7,5,8,6,2,4,1,3
152_C,5,11.0,1.0,0.0,1.0,1.0,2.0,1.0,105.0,7,5,8,6,2,3,4,1
152_D,5,11.0,1.0,0.0,1.0,1.0,2.0,1.0,1000.0,4,6,2,8,7,1,3,5
152_E,18,28.0,9.0,0.0,3.0,9.0,3.0,2.0,0.0,7,5,8,6,2,1,4,3
154_A,43,66.0,18.0,0.0,8.0,18.0,1.0,3.0,0.0,5,7,8,6,2,4,1,3
154_B,14,23.0,8.0,0.0,2.0,8.0,2.0,2.0,0.0,7,5,8,6,2,1,4,3
155_B,30,51.0,17.0,0.0,4.0,17.0,4.0,1.0,0.0,5,7,8,6,2,1,4,3
156_B,56,93.0,19.0,0.0,18.0,19.0,2.0,1.0,0.0,7,5,8,6,1,2,4,3
156_C,19,30.0,9.0,0.0,3.0,9.0,3.0,2.0,0.0,7,5,4,3,8,6,2,1
156_D,5,11.0,1.0,0.0,1.0,1.0,2.0,1.0,100000.0,5,8,7,2,1,6,4,3
158_A,23,39.0,11.0,0.0,4.0,11.0,1.0,1.0,0.0,7,5,8,6,2,1,3,4
158_C,24,46.0,7.0,0.0,5.0,7.0,1.0,3.0,0.0,7,5,6,8,1,3,2,4
158_D,17,26.0,10.0,0.0,3.0,10.0,3.0,3.0,0.0,7,5,8,6,3,2,1,4
159_B,48,82.0,26.0,0.0,7.0,26.0,2.0,1.0,0.0,7,8,5,6,1,3,4,2
15_B,71,119.0,29.0,0.0,11.0,29.0,2.0,1.0,0.0,5,8,7,2,6,1,3,4
160_A,26,43.0,15.0,0.0,3.0,15.0,3.0,1.0,0.0,7,8,5,2,6,1,4,3
160_B,46,79.0,18.0,0.0,8.0,18.0,2.0,1.0,0.0,7,8,5,2,6,1,3,4
160_C,33,52.0,16.0,0.0,8.0,16.0,2.0,1.0,0.0,7,5,6,8,2,1,4,3
