274_D,6,3,7,8,1,4,5,2,3842463,3942483,4267770,4309739,4400933,4688973,4840744,5102137
play-with-strings,6,8,3,4,7,1,5,2,3842445,4041623,4095883,4151812,4328681,4397555,4703731,5964256
44_C,3,7,5,1,8,6,2,4,3865416,3970696,4214790,4406918,4508407,5089030,5180740,5298076
frame-the-picture-2,1,4,2,8,5,7,3,6,617893856,633443431,634570352,634676224,637930357,646468606,648341859,668968458
509_A,7,1,6,3,8,2,4,5,3588032,3860186,3921556,3926309,4251515,4297262,4519879,4794933
n-objects,5,7,8,1,6,2,4,3,7908983,8148305,8794746,9021151,9092352,9197575,9617269,10167998
331_A2,5,7,6,1,2,3,8,4,3905036,4246360,4445481,4619671,4818438,4968442,5055144,5135471
259_A,8,6,1,7,2,5,3,4,3234994,3772429,4110966,4222609,4364115,4530978,4585057,4663085
micro-and-array-1,2,4,7,3,8,1,6,5,3595931,3642522,3818927,3920377,3953596,4074323,4132519,4405297
2_C,7,5,3,6,2,1,4,8,3496995,3676987,3686344,3958025,4251651,4378917,4542329,4560991
count-strings-1,5,7,2,4,8,3,6,1,3860790,3866123,4009807,4054666,4153933,4381420,4495488,4737622
409_D,6,7,5,2,4,8,1,3,3272990,3349168,3647695,3777118,4041119,4056062,4248690,4335680
633_A,7,6,5,4,2,8,3,1,3309064,3444556,3687345,4384639,4608614,5021723,5311043,5883471
lucky-numbers-20,1,6,5,7,8,3,2,4,3763456,3845765,4189220,4255856,4342908,4577478,4927090,5279138
171_A,1,5,3,7,4,2,6,8,3768339,4069605,4093908,4216920,4314397,4417556,4556732,5194672
11_D,3,5,1,6,7,4,8,2,3786835,3895501,3949630,4003982,4071913,4424368,4729315,4789880
ambar-the-gardener-b-1,1,6,2,4,7,3,5,8,225245337,227776312,238608297,239755648,241022518,241132282,241221717,244626530
dummy-4-1,6,2,1,4,8,7,3,5,3981072,3991742,4023871,4204182,4385112,4869729,4936975,5001565
690_D3,5,1,8,6,4,2,3,7,4105906,4116279,4125303,4198665,4263796,4472074,4608673,4832362
our-coach-and-messi,1,8,6,7,3,5,2,4,3368769,4063127,4458197,4495880,4530633,4703464,4721556,4894682
change-in-money,8,4,6,7,5,3,2,1,3637456,4197883,4424347,4529064,4704645,4830428,5185717,5412650
marut-vs-devil-army-1,3,4,8,5,7,6,2,1,4275843,4290638,4491896,4753236,5020472,5111120,5154775,5720207
the-collatz,2,7,5,4,3,6,1,8,3947798,3982199,4002929,4210697,4282605,4383961,4796035,5415457
504_E,2,8,6,3,7,1,5,4,4164951,4256238,4511080,4552112,4772996,5106895,5241213,5991834
311_E,6,7,2,4,1,8,3,5,3792551,4141090,4184292,4307900,4378118,4590359,4592721,5104186
38_A,6,1,7,3,2,5,4,8,3505806,3777141,3794016,3888821,4057699,4076213,4322975,4371017
the-magic,1,2,3,4,6,5,7,8,4675023,5054186,5090469,5120860,5198204,5221480,5230237,5282189
1_C,7,1,2,8,4,5,6,3,3477638,4062270,4195232,4213495,4250509,4271742,4292724,4368969
convo-clusters,1,6,3,4,2,5,8,7,3600996,4154429,4320840,4395580,4642452,4798488,5003685,6280008
count-carry-problem-6,2,4,3,7,1,5,8,6,3978895,4049911,4086336,4224261,4321871,4556818,4603619,4693747
293_C,3,8,7,6,1,4,5,2,3401639,3594168,3785517,3866779,4046280,4095262,4178877,4785369
12_A,1,4,2,8,3,6,7,5,2823171,3605751,3647226,3842241,3889991,4079677,4085287,4627181
375_E,8,7,1,3,6,4,5,2,3736529,3932772,4272717,4321268,4322174,4356525,4839586,5368073
357_A,2,6,7,1,8,4,5,3,3564463,3637339,3778374,3809783,3948681,4066103,4100296,4449238
crack-the-code,3,4,2,6,5,1,7,8,3511193,3625714,3775048,4097445,4175843,4493693,4763637,4808476
circle-intersection,2,8,1,7,3,5,4,6,3969647,4257788,4319247,4576465,4631702,4924483,5099964,5447263
242_A,6,8,7,4,5,3,1,2,3298299,3524762,3585770,3923205,3952081,4027188,4169671,4190284
589_G,1,3,6,7,5,4,8,2,3557366,4164516,4438604,4586716,4969605,5125449,5752397,5998050
